DensE1,LongE1,LatE1
459.4792832,-74.08970404,4.477099147
484.0894589,-74.13349555,4.485778517
455.6232496,-74.10376002,4.467332185
499.8653134,-74.10267896,4.472758108
574.8648624,-74.16323028,4.484690455
455.6866243,-74.14160374,4.470585382
634.7040777,-74.15836488,4.487403949
684.0254624,-74.12917002,4.479267777
518.1247996,-74.13619764,4.4722136
456.1068865,-74.15404247,4.512906035
868.7655738,-74.1172758,4.472214872
684.4940003,-74.11403256,4.48252422
982.6169855,-74.10970779,4.489035483
471.3610779,-74.09132608,4.485237945
654.1101995,-74.12214086,4.462990588
545.585564,-74.14863262,4.478723555
493.5162364,-74.13673791,4.46787285
500.1160092,-74.13511588,4.465702626
531.5727622,-74.13511626,4.470585921
607.0731168,-74.15349906,4.486319296
436.4605255,-74.13565578,4.45647858
599.8351762,-74.15457976,4.480893304
437.1059018,-74.14863209,4.473297674
694.459931,-74.10484176,4.480896857
515.7992781,-74.13619759,4.471671012
635.6615107,-74.11619412,4.464076103
1055.930189,-74.10213967,4.512367065
457.3938453,-74.14106199,4.457563309
492.8378672,-74.13781942,4.471128292
460.7929531,-74.13024965,4.456478988
912.0455346,-74.11457319,4.482524193
467.9300132,-74.17188755,4.540033284
544.9054689,-74.15836387,4.478179955
505.9353945,-74.13024996,4.460819696
389.7564995,-74.09348823,4.467332481
750.4444605,-74.12322256,4.47058676
634.3091239,-74.15836477,4.486318773
509.8458041,-74.13403464,4.46570271
883.7723954,-74.11781642,4.472214843
583.9151678,-74.14484827,4.479266501
502.7987949,-74.11186915,4.46353373
377.5407051,-74.0940288,4.465162114
518.3856616,-74.13403468,4.466245298
522.8955798,-74.10538208,4.47275801
586.0201641,-74.16268965,4.484690518
444.1992267,-74.10159745,4.464619316
457.0247464,-74.10213817,4.46787483
575.3619965,-74.1507954,4.481436281
933.9815452,-74.12538618,4.487949446
960.669296,-74.12430505,4.490119869
552.1022459,-74.10538229,4.478183895
1028.387206,-74.11132965,4.487950233
453.9256788,-74.13944056,4.462446743
475.5712872,-74.12159995,4.458107324
506.5382564,-74.11186918,4.464076318
995.5588224,-74.12484415,4.466245949
873.4383888,-74.12051989,4.478183161
735.8666647,-74.1048418,4.481982034
552.8039488,-74.10808525,4.473843079
1054.312719,-74.11835998,4.524845851
661.3028553,-74.11078885,4.48415214
633.6711642,-74.10916653,4.474385622
454.2065796,-74.13079038,4.458106714
523.9774264,-74.16972389,4.532437347
612.0228332,-74.15728291,4.480893014
